side,offset,low,high
back,50,179.54793,178.45409
back,100,231.30966,230.610
back,150,280.0255,280.1207
back,200,327.87143,329.63467
back,250,376.58725,376.5404
back,300,427.04294,426.06372
back,350,480.97833,477.2908
back,400,529.69415,526.8365
back,450,580.1498,578.08453
back,500,630.6055,626.68384
back,550,679.3214,676.2753


right,50,185.58362,167.30705
right,100,236.85115,220.75539
right,150,286.26,270.70026
right,200,334.1139,321.53064
right,250,382.9636,369.72122
right,300,431.66772,420.55576
right,350,482.93527,472.2543
right,400,531.6394,521.33765
right,450,582.907,575.651
right,500,631.6111,622.11615
right,550,681.16974,674.7023


left,50,181.32509,171.93503
left,100,234.27339,225.8125
left,150,282.0977,273.97406
left,200,332.484,324.12427
left,250,378.60028,375.14023
left,300,428.98657,424.43274
left,350,481.93488,475.44476
left,400,529.7592,525.59955
left,450,580.1455,579.2162
left,500,629.6778,626.635
left,550,678.3502,679.5155
